issue_number,slug,title,issue_state,issue_created_at,issue_closed_at,actual_session_elapsed_seconds,actual_session_elapsed_status,actual_session_elapsed_source,github_cycle_time_seconds,github_cycle_time_status,github_cycle_time_source,actual_total_tokens,actual_total_tokens_status,actual_total_tokens_source,row_contract_completeness,row_contract_missing_fields,metric_availability_class,full_metrics_known,row_confidence,notes,source_prompt_relpath,sor_relpath
3966,v0-91-6-wp-01-planning-promote-v0-91-6-issue-wave-and-schedule-existing-work,[v0.91.6][WP-01][planning] Promote v0.91.6 issue wave and schedule existing work,closed,2026-06-17T22:01:41Z,2026-06-19T01:17:52Z,93496,derived,sor_execution_window,98171,derived,github_issue_created_closed,unknown,unknown,sor_issue_metrics_truth,complete,none,timing_recovered_token_gap,no,low,actual_session_elapsed: Derived from SOR execution start/end timestamps because no explicit actual elapsed seconds value was recorded. | github_cycle_time: Derived from repo-native GitHub issue createdAt and closedAt timestamps. | actual_total_tokens: Derived from the issue-local SOR Issue Metrics Truth section when present.,.adl/v0.91.6/bodies/issue-3966-v0-91-6-wp-01-planning-promote-v0-91-6-issue-wave-and-schedule-existing-work.md,.adl/v0.91.6/tasks/issue-3966__v0-91-6-wp-01-planning-promote-v0-91-6-issue-wave-and-schedule-existing-work/sor.md
3967,v0-91-6-wp-02-resilience-complete-resilience-persistence-and-sleep-wake-bridge,[v0.91.6][WP-02][resilience] Resilience layer mini-sprint umbrella,closed,2026-06-17T22:01:45Z,2026-06-19T00:02:25Z,90574,derived,sor_execution_window,93640,derived,github_issue_created_closed,unknown,unknown,sor_issue_metrics_truth,complete,none,timing_recovered_token_gap,no,low,actual_session_elapsed: Derived from SOR execution start/end timestamps because no explicit actual elapsed seconds value was recorded. | github_cycle_time: Derived from repo-native GitHub issue createdAt and closedAt timestamps. | actual_total_tokens: Derived from the issue-local SOR Issue Metrics Truth section when present.,.adl/v0.91.6/bodies/issue-3967-v0-91-6-wp-02-resilience-complete-resilience-persistence-and-sleep-wake-bridge.md,.adl/v0.91.6/tasks/issue-3967__v0-91-6-wp-02-resilience-complete-resilience-persistence-and-sleep-wake-bridge/sor.md
3968,v0-91-6-wp-03-tools-complete-logging-and-tooling-proof-loop-reliability,[v0.91.6][WP-03][logging] Logging and tooling proof-loop mini-sprint umbrella,closed,2026-06-17T22:01:49Z,2026-06-17T23:36:25Z,0,derived,sor_execution_window,5676,derived,github_issue_created_closed,unknown,unknown,sor_issue_metrics_truth,complete,none,timing_recovered_token_gap,no,low,actual_session_elapsed: Derived from SOR execution start/end timestamps because no explicit actual elapsed seconds value was recorded. | github_cycle_time: Derived from repo-native GitHub issue createdAt and closedAt timestamps. | actual_total_tokens: Derived from the issue-local SOR Issue Metrics Truth section when present.,.adl/v0.91.6/bodies/issue-3968-v0-91-6-wp-03-tools-complete-logging-and-tooling-proof-loop-reliability.md,.adl/v0.91.6/tasks/issue-3968__v0-91-6-wp-03-tools-complete-logging-and-tooling-proof-loop-reliability/sor.md
3969,v0-91-6-wp-04-docs-complete-public-prompt-records-export-and-redaction-bridge,[v0.91.6][WP-04][docs] Public prompt records export mini-sprint umbrella,closed,2026-06-17T22:01:53Z,2026-06-18T09:08:50Z,6600,derived,sor_execution_window,40017,derived,github_issue_created_closed,unknown,unknown,sor_issue_metrics_truth,complete,none,timing_recovered_token_gap,no,low,actual_session_elapsed: Derived from SOR execution start/end timestamps because no explicit actual elapsed seconds value was recorded. | github_cycle_time: Derived from repo-native GitHub issue createdAt and closedAt timestamps. | actual_total_tokens: Derived from the issue-local SOR Issue Metrics Truth section when present.,.adl/v0.91.6/bodies/issue-3969-v0-91-6-wp-04-docs-complete-public-prompt-records-export-and-redaction-bridge.md,.adl/v0.91.6/tasks/issue-3969__v0-91-6-wp-04-docs-complete-public-prompt-records-export-and-redaction-bridge/sor.md
3970,v0-91-6-wp-05-provider-complete-provider-model-reliability-and-multi-agent-readiness,[v0.91.6][WP-05][provider] Complete provider/model reliability and multi-agent readiness,closed,2026-06-17T22:01:57Z,2026-06-18T17:54:20Z,90425,derived,sor_execution_window,71543,derived,github_issue_created_closed,unknown,unknown,sor_issue_metrics_truth,complete,none,timing_recovered_token_gap,no,low,actual_session_elapsed: Derived from SOR execution start/end timestamps because no explicit actual elapsed seconds value was recorded. | github_cycle_time: Derived from repo-native GitHub issue createdAt and closedAt timestamps. | actual_total_tokens: Derived from the issue-local SOR Issue Metrics Truth section when present.,.adl/v0.91.6/bodies/issue-3970-v0-91-6-wp-05-provider-complete-provider-model-reliability-and-multi-agent-readiness.md,.adl/v0.91.6/tasks/issue-3970__v0-91-6-wp-05-provider-complete-provider-model-reliability-and-multi-agent-readiness/sor.md
3971,v0-91-6-wp-06-acip-decide-acip-a2a-and-provider-communications-route,"[v0.91.6][WP-06][acip] Decide ACIP, A2A, and provider communications route",closed,2026-06-17T22:02:01Z,2026-06-19T03:20:12Z,0,derived,sor_execution_window,105491,derived,github_issue_created_closed,unknown,unknown,sor_issue_metrics_truth,complete,none,timing_recovered_token_gap,no,low,actual_session_elapsed: Derived from SOR execution start/end timestamps because no explicit actual elapsed seconds value was recorded. | github_cycle_time: Derived from repo-native GitHub issue createdAt and closedAt timestamps. | actual_total_tokens: Derived from the issue-local SOR Issue Metrics Truth section when present.,.adl/v0.91.6/bodies/issue-3971-v0-91-6-wp-06-acip-decide-acip-a2a-and-provider-communications-route.md,.adl/v0.91.6/tasks/issue-3971__v0-91-6-wp-06-acip-decide-acip-a2a-and-provider-communications-route/sor.md
3972,v0-91-6-wp-07-security-complete-security-bridge-readiness-and-cav-route,[v0.91.6][WP-07][security] Complete security bridge readiness and CAV route,closed,2026-06-17T22:02:05Z,2026-06-19T19:59:45Z,162409,derived,sor_execution_window,165460,derived,github_issue_created_closed,unknown,unknown,sor_issue_metrics_truth,complete,none,timing_recovered_token_gap,no,low,actual_session_elapsed: Derived from SOR execution start/end timestamps because no explicit actual elapsed seconds value was recorded. | github_cycle_time: Derived from repo-native GitHub issue createdAt and closedAt timestamps. | actual_total_tokens: Derived from the issue-local SOR Issue Metrics Truth section when present.,.adl/v0.91.6/bodies/issue-3972-v0-91-6-wp-07-security-complete-security-bridge-readiness-and-cav-route.md,.adl/v0.91.6/tasks/issue-3972__v0-91-6-wp-07-security-complete-security-bridge-readiness-and-cav-route/sor.md
3973,v0-91-6-wp-08-identity-complete-identity-continuity-and-capability-selector-bridge,[v0.91.6][WP-08][identity] Complete identity continuity and capability-selector bridge,closed,2026-06-17T22:02:09Z,2026-06-19T19:59:46Z,162409,derived,sor_execution_window,165457,derived,github_issue_created_closed,unknown,unknown,sor_issue_metrics_truth,complete,none,timing_recovered_token_gap,no,low,actual_session_elapsed: Derived from SOR execution start/end timestamps because no explicit actual elapsed seconds value was recorded. | github_cycle_time: Derived from repo-native GitHub issue createdAt and closedAt timestamps. | actual_total_tokens: Derived from the issue-local SOR Issue Metrics Truth section when present.,.adl/v0.91.6/bodies/issue-3973-v0-91-6-wp-08-identity-complete-identity-continuity-and-capability-selector-bridge.md,.adl/v0.91.6/tasks/issue-3973__v0-91-6-wp-08-identity-complete-identity-continuity-and-capability-selector-bridge/sor.md
3974,v0-91-6-wp-09-observatory-classify-observatory-and-unity-consumption-readiness,[v0.91.6][WP-09][observatory] Implement Observatory and Unity demo readiness,closed,2026-06-17T22:02:13Z,2026-06-22T02:39:47Z,625,derived,sor_execution_window,362254,derived,github_issue_created_closed,unknown,unknown,sor_goal_metrics_substrate_note,complete,none,timing_recovered_token_gap,no,low,actual_session_elapsed: Derived from SOR execution start/end timestamps because no explicit actual elapsed seconds value was recorded. | github_cycle_time: Derived from repo-native GitHub issue createdAt and closedAt timestamps. | actual_total_tokens: this closeout-truth repair did not introduce a,.adl/v0.91.6/bodies/issue-3974-v0-91-6-wp-09-observatory-classify-observatory-and-unity-consumption-readiness.md,.adl/v0.91.6/tasks/issue-3974__v0-91-6-wp-09-observatory-classify-observatory-and-unity-consumption-readiness/sor.md
3975,v0-91-6-wp-10-memory-account-for-aee-memory-obsmem-memory-palace-and-acp,"[v0.91.6][WP-10][memory] Account for AEE, Memory/ObsMem, Memory Palace, and ACP",closed,2026-06-17T22:02:17Z,2026-06-19T19:59:46Z,162408,derived,sor_execution_window,165449,derived,github_issue_created_closed,unknown,unknown,sor_issue_metrics_truth,complete,none,timing_recovered_token_gap,no,low,actual_session_elapsed: Derived from SOR execution start/end timestamps because no explicit actual elapsed seconds value was recorded. | github_cycle_time: Derived from repo-native GitHub issue createdAt and closedAt timestamps. | actual_total_tokens: Derived from the issue-local SOR Issue Metrics Truth section when present.,.adl/v0.91.6/bodies/issue-3975-v0-91-6-wp-10-memory-account-for-aee-memory-obsmem-memory-palace-and-acp.md,.adl/v0.91.6/tasks/issue-3975__v0-91-6-wp-10-memory-account-for-aee-memory-obsmem-memory-palace-and-acp/sor.md
3976,v0-91-6-wp-11-demo-demo-matrix-and-proof-convergence,[v0.91.6][WP-11][demo] Demo matrix and proof convergence,open,2026-06-17T22:02:21Z,unknown,0,derived,sor_execution_window,unknown,unknown,github_issue_state_open,unknown,unknown,sor_goal_metrics_substrate_note,complete,none,open_issue_local_timing_only,no,low,"actual_session_elapsed: Derived from SOR execution start/end timestamps because no explicit actual elapsed seconds value was recorded. | github_cycle_time: Issue is still open, so closed-cycle duration is not yet available. | actual_total_tokens: create the issue-bound session goal before implementation begins and update this record from authoritative goal metrics at finish.",.adl/v0.91.6/bodies/issue-3976-v0-91-6-wp-11-demo-demo-matrix-and-proof-convergence.md,.adl/v0.91.6/tasks/issue-3976__v0-91-6-wp-11-demo-demo-matrix-and-proof-convergence/sor.md
3977,v0-91-6-wp-12-quality-coverage-and-quality-gate,[v0.91.6][WP-12][quality] Coverage and quality gate,open,2026-06-17T22:02:25Z,unknown,0,derived,sor_execution_window,unknown,unknown,github_issue_state_open,unknown,unknown,sor_goal_metrics_substrate_note,complete,none,open_issue_local_timing_only,no,low,"actual_session_elapsed: Derived from SOR execution start/end timestamps because no explicit actual elapsed seconds value was recorded. | github_cycle_time: Issue is still open, so closed-cycle duration is not yet available. | actual_total_tokens: create the issue-bound session goal before implementation begins and update this record from authoritative goal metrics at finish.",.adl/v0.91.6/bodies/issue-3977-v0-91-6-wp-12-quality-coverage-and-quality-gate.md,.adl/v0.91.6/tasks/issue-3977__v0-91-6-wp-12-quality-coverage-and-quality-gate/sor.md
3978,v0-91-6-wp-13-docs-docs-and-review-surface-alignment,[v0.91.6][WP-13][docs] Docs and review-surface alignment,open,2026-06-17T22:02:29Z,unknown,0,derived,sor_execution_window,unknown,unknown,github_issue_state_open,unknown,unknown,sor_goal_metrics_substrate_note,complete,none,open_issue_local_timing_only,no,low,"actual_session_elapsed: Derived from SOR execution start/end timestamps because no explicit actual elapsed seconds value was recorded. | github_cycle_time: Issue is still open, so closed-cycle duration is not yet available. | actual_total_tokens: create the issue-bound session goal before implementation begins and update this record from authoritative goal metrics at finish.",.adl/v0.91.6/bodies/issue-3978-v0-91-6-wp-13-docs-docs-and-review-surface-alignment.md,.adl/v0.91.6/tasks/issue-3978__v0-91-6-wp-13-docs-docs-and-review-surface-alignment/sor.md
3979,v0-91-6-wp-14-planning-create-pre-v0-92-bridge-burn-down-checklist,[v0.91.6][WP-14][review] Internal review and pre-v0.92 burn-down checklist,closed,2026-06-17T22:05:46Z,2026-06-24T03:09:22Z,0,derived,sor_execution_window,536616,derived,github_issue_created_closed,unknown,unknown,sor_issue_metrics_truth,complete,none,timing_recovered_token_gap,no,low,actual_session_elapsed: Derived from SOR execution start/end timestamps because no explicit actual elapsed seconds value was recorded. | github_cycle_time: Derived from repo-native GitHub issue createdAt and closedAt timestamps. | actual_total_tokens: Derived from the issue-local SOR Issue Metrics Truth section when present.,.adl/v0.91.6/bodies/issue-3979-v0-91-6-wp-14-planning-create-pre-v0-92-bridge-burn-down-checklist.md,.adl/v0.91.6/tasks/issue-3979__v0-91-6-wp-14-planning-create-pre-v0-92-bridge-burn-down-checklist/sor.md
3980,v0-91-6-wp-15-review-external-and-third-party-review,[v0.91.6][WP-15][review] External and third-party review,open,2026-06-17T22:11:55Z,unknown,0,derived,sor_execution_window,unknown,unknown,github_issue_state_open,unknown,unknown,sor_goal_metrics_substrate_note,complete,none,open_issue_local_timing_only,no,low,"actual_session_elapsed: Derived from SOR execution start/end timestamps because no explicit actual elapsed seconds value was recorded. | github_cycle_time: Issue is still open, so closed-cycle duration is not yet available. | actual_total_tokens: create the issue-bound session goal before implementation begins and update this record from authoritative goal metrics at finish.",.adl/v0.91.6/bodies/issue-3980-v0-91-6-wp-15-review-external-and-third-party-review.md,.adl/v0.91.6/tasks/issue-3980__v0-91-6-wp-15-review-external-and-third-party-review/sor.md
3981,v0-91-6-wp-16-review-findings-remediation-and-final-preflight,[v0.91.6][WP-16][review] Findings remediation and final preflight,open,2026-06-17T22:11:59Z,unknown,0,derived,sor_execution_window,unknown,unknown,github_issue_state_open,unknown,unknown,sor_goal_metrics_substrate_note,complete,none,open_issue_local_timing_only,no,low,"actual_session_elapsed: Derived from SOR execution start/end timestamps because no explicit actual elapsed seconds value was recorded. | github_cycle_time: Issue is still open, so closed-cycle duration is not yet available. | actual_total_tokens: create the issue-bound session goal before implementation begins and update this record from authoritative goal metrics at finish.",.adl/v0.91.6/bodies/issue-3981-v0-91-6-wp-16-review-findings-remediation-and-final-preflight.md,.adl/v0.91.6/tasks/issue-3981__v0-91-6-wp-16-review-findings-remediation-and-final-preflight/sor.md
3982,v0-91-6-wp-17-planning-next-milestone-planning-and-v0-91-7-handoff,[v0.91.6][WP-17][planning] Next milestone planning and v0.91.7 handoff,open,2026-06-17T22:12:03Z,unknown,0,derived,sor_execution_window,unknown,unknown,github_issue_state_open,unknown,unknown,sor_goal_metrics_substrate_note,complete,none,open_issue_local_timing_only,no,low,"actual_session_elapsed: Derived from SOR execution start/end timestamps because no explicit actual elapsed seconds value was recorded. | github_cycle_time: Issue is still open, so closed-cycle duration is not yet available. | actual_total_tokens: create the issue-bound session goal before implementation begins and update this record from authoritative goal metrics at finish.",.adl/v0.91.6/bodies/issue-3982-v0-91-6-wp-17-planning-next-milestone-planning-and-v0-91-7-handoff.md,.adl/v0.91.6/tasks/issue-3982__v0-91-6-wp-17-planning-next-milestone-planning-and-v0-91-7-handoff/sor.md
3983,v0-91-6-wp-18-review-next-milestone-review-pass,[v0.91.6][WP-18][review] Next milestone review pass,open,2026-06-17T22:12:08Z,unknown,0,derived,sor_execution_window,unknown,unknown,github_issue_state_open,unknown,unknown,sor_goal_metrics_substrate_note,complete,none,open_issue_local_timing_only,no,low,"actual_session_elapsed: Derived from SOR execution start/end timestamps because no explicit actual elapsed seconds value was recorded. | github_cycle_time: Issue is still open, so closed-cycle duration is not yet available. | actual_total_tokens: create the issue-bound session goal before implementation begins and update this record from authoritative goal metrics at finish.",.adl/v0.91.6/bodies/issue-3983-v0-91-6-wp-18-review-next-milestone-review-pass.md,.adl/v0.91.6/tasks/issue-3983__v0-91-6-wp-18-review-next-milestone-review-pass/sor.md
3984,v0-91-6-wp-19-release-release-ceremony,[v0.91.6][WP-19][release] Release ceremony,open,2026-06-17T22:12:12Z,unknown,0,derived,sor_execution_window,unknown,unknown,github_issue_state_open,unknown,unknown,sor_goal_metrics_substrate_note,complete,none,open_issue_local_timing_only,no,low,"actual_session_elapsed: Derived from SOR execution start/end timestamps because no explicit actual elapsed seconds value was recorded. | github_cycle_time: Issue is still open, so closed-cycle duration is not yet available. | actual_total_tokens: create the issue-bound session goal before implementation begins and update this record from authoritative goal metrics at finish.",.adl/v0.91.6/bodies/issue-3984-v0-91-6-wp-19-release-release-ceremony.md,.adl/v0.91.6/tasks/issue-3984__v0-91-6-wp-19-release-release-ceremony/sor.md
3985,v0-91-6-tools-fix-adl-issue-metadata-repair-for-existing-issues,[v0.91.6][tools] Fix ADL issue metadata repair for existing issues,closed,2026-06-17T22:12:47Z,2026-06-19T00:28:11Z,0,derived,sor_execution_window,94524,derived,github_issue_created_closed,unknown,unknown,sor_issue_metrics_truth,complete,none,timing_recovered_token_gap,no,low,actual_session_elapsed: Derived from SOR execution start/end timestamps because no explicit actual elapsed seconds value was recorded. | github_cycle_time: Derived from repo-native GitHub issue createdAt and closedAt timestamps. | actual_total_tokens: Derived from the issue-local SOR Issue Metrics Truth section when present.,.adl/v0.91.6/bodies/issue-3985-v0-91-6-tools-fix-adl-issue-metadata-repair-for-existing-issues.md,.adl/v0.91.6/tasks/issue-3985__v0-91-6-tools-fix-adl-issue-metadata-repair-for-existing-issues/sor.md
3986,v0-91-6-wp-02-resilience-r-00-architecture-schemas-and-substrate-foundation,"[v0.91.6][WP-02][resilience][R-00] Architecture, schemas, and substrate foundation",closed,2026-06-17T22:27:28Z,2026-06-18T08:35:02Z,7589,derived,sor_execution_window,36454,derived,github_issue_created_closed,unknown,unknown,sor_issue_metrics_truth,complete,none,timing_recovered_token_gap,no,low,actual_session_elapsed: Derived from SOR execution start/end timestamps because no explicit actual elapsed seconds value was recorded. | github_cycle_time: Derived from repo-native GitHub issue createdAt and closedAt timestamps. | actual_total_tokens: Derived from the issue-local SOR Issue Metrics Truth section when present.,.adl/v0.91.6/bodies/issue-3986-v0-91-6-wp-02-resilience-r-00-architecture-schemas-and-substrate-foundation.md,.adl/v0.91.6/tasks/issue-3986__v0-91-6-wp-02-resilience-r-00-architecture-schemas-and-substrate-foundation/sor.md
3987,v0-91-6-wp-02-resilience-r-01-implement-retry-policy-with-backoff-jitter-and-budgets,"[v0.91.6][WP-02][resilience][R-01] Implement retry policy with backoff, jitter, and budgets",closed,2026-06-17T22:27:33Z,2026-06-18T18:26:03Z,1274,derived,sor_execution_window,71910,derived,github_issue_created_closed,unknown,unknown,sor_issue_metrics_truth,complete,none,timing_recovered_token_gap,no,low,actual_session_elapsed: Derived from SOR execution start/end timestamps because no explicit actual elapsed seconds value was recorded. | github_cycle_time: Derived from repo-native GitHub issue createdAt and closedAt timestamps. | actual_total_tokens: Derived from the issue-local SOR Issue Metrics Truth section when present.,.adl/v0.91.6/bodies/issue-3987-v0-91-6-wp-02-resilience-r-01-implement-retry-policy-with-backoff-jitter-and-budgets.md,.adl/v0.91.6/tasks/issue-3987__v0-91-6-wp-02-resilience-r-01-implement-retry-policy-with-backoff-jitter-and-budgets/sor.md
3988,v0-91-6-wp-02-resilience-r-02-implement-timeout-deadline-and-cancellation-policy,"[v0.91.6][WP-02][resilience][R-02] Implement timeout, deadline, and cancellation policy",closed,2026-06-17T22:27:37Z,2026-06-18T17:36:20Z,875,derived,sor_execution_window,68923,derived,github_issue_created_closed,unknown,unknown,sor_issue_metrics_truth,complete,none,timing_recovered_token_gap,no,low,actual_session_elapsed: Derived from SOR execution start/end timestamps because no explicit actual elapsed seconds value was recorded. | github_cycle_time: Derived from repo-native GitHub issue createdAt and closedAt timestamps. | actual_total_tokens: Derived from the issue-local SOR Issue Metrics Truth section when present.,.adl/v0.91.6/bodies/issue-3988-v0-91-6-wp-02-resilience-r-02-implement-timeout-deadline-and-cancellation-policy.md,.adl/v0.91.6/tasks/issue-3988__v0-91-6-wp-02-resilience-r-02-implement-timeout-deadline-and-cancellation-policy/sor.md
